,index,Circuit,Loss,k1,k2,theta1,theta2,best_losses,best_loss_circuit
13,13,No Control,0.6275543534766026,7.340893002427872e-06,0.0008725484216671674,1.7101685067466446,6.631068032604045,0.10052449420406587,Dual Control
14,14,Upstream Repression,0.4285951901541758,0.00014275954445434509,0.0007113740314439374,0.7641387949969146,9.80100594100613,0.10052449420406587,Dual Control
15,15,Dual Control,0.17322172266527125,0.00020359620256656758,0.0009608441059407391,4.700368507675348,3.664173356327718,0.10052449420406587,Dual Control
16,16,No Control,0.2737931563109847,0.00021888603247598602,0.0002846968848562402,6.839237651894525,4.339039545673691,0.10052449420406587,Dual Control
17,17,Dual Control,0.3326366427099953,0.0007294490383142187,0.00035076101499615904,7.357162177745469,8.175620137707647,0.10052449420406587,Dual Control
18,18,Dual Control,0.4611326975110907,0.0009602457856374473,0.0004191448785906405,7.767541285740383,7.163758300093063,0.10052449420406587,Dual Control
19,19,Dual Control,0.07980636287646926,9.762777061345877e-05,0.0002811700190559489,5.9138302450600415,6.965705450191283,0.07980636287646926,Dual Control
20,20,Dual Control,0.49960405775919275,2.9843859989605725e-05,7.493518889177753e-05,0.006021608763762343,9.966710937858181,0.07980636287646926,Dual Control
21,21,Dual Control,0.08140040141560419,0.0003522372186047858,0.000722822480900277,1.3423966424589349,9.194352815416092,0.07980636287646926,Dual Control
22,22,Dual Control,0.06789143678409412,0.0003105857627726142,0.00015798377367207716,2.64341060617837,9.792425665189223,0.06789143678409412,Dual Control
23,23,Dual Control,0.10194289844477145,3.630842935990023e-05,0.00012339173708785666,2.970840324843828,1.6210706053744284,0.06789143678409412,Dual Control
24,24,Dual Control,0.15232248806146442,0.000289713084460484,0.00022752944430798634,6.0839265937077265,5.284056692147424,0.06789143678409412,Dual Control
25,25,Dual Control,0.2294740663995488,0.0004957385647345407,0.00022200937256851207,9.961555952110555,9.633280968934674,0.06789143678409412,Dual Control
26,26,Downstream Activation,0.3295517751711838,3.7884667932377557e-06,0.0009401240207510702,9.736602263480075,9.074072465713591,0.06789143678409412,Dual Control
27,27,Dual Control,0.10204412994258252,0.00017806478843853567,4.370347867417758e-05,2.943983964284086,8.769311989285063,0.06789143678409412,Dual Control
28,28,Dual Control,0.22528346003365815,0.0005056959450563216,0.0002736993656786551,5.005687948944718,5.365891921517391,0.06789143678409412,Dual Control
