,Method,Computational Time,Best Loss,Function Evaluations,Message
0,Gradient-Based,1.6999497413635254,0.2787406553420852,45.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,19.444868087768555,0.4647129787866506,405.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,2.3730340003967285,0.4954959755771901,55.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.380176782608032,0.07273816101649083,205.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,10.310989141464233,0.07011496230317174,320.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.7933700084686279,0.4926556913414846,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.76918888092041,0.49909297036273675,160.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.380148887634277,0.07018267852490123,210.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.888514995574951,0.18741001217022177,230.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.032790184020996,0.17327420971429472,80.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,5.575967788696289,0.18190972205780634,145.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.1731698513031006,0.08166510739996172,80.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.476083040237427,0.09465111121255974,215.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,9.586169004440308,0.07194372903943856,290.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.405179738998413,0.10833110257950693,140.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.967353105545044,0.07591592849268278,90.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,7.031747102737427,0.07002173113538127,230.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,11.219105958938599,0.07005093626135182,345.0,Linear search failed
0,Gradient-Based,5.85593318939209,0.07057106273854326,175.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.107923269271851,0.35562970857191883,160.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,15.987329721450806,0.0727152318912026,440.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,17.643227338790894,0.10550661639324593,485.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.61381983757019,0.09955913982419166,225.0,Linear search failed
0,Gradient-Based,11.994894027709961,0.36040193152190175,290.0,Linear search failed
0,Gradient-Based,2.975677967071533,0.07023063623586415,95.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,16.57418203353882,0.07039183808632513,495.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,10.684994220733643,0.07037915544511143,280.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.9090678691864014,0.0702155601067102,80.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.144078016281128,0.42194095307186974,175.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,7.251933336257935,0.07044304549903238,235.0,Converged (|f_n-f_(n-1)| ~= 0)
