,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
1,1,"((0, 1, 0), (0, 0, 1))",2165248.6373154633,1.6414601590105513,0.35727556515708614,3.226336599094504,5.924566171915814,Upstream Repression,100000.0,Initial
2,2,"((0, 1, 0), (0, 0, 1))",4968476.539869734,1.1880101878390907,2.700311390980607,2.7965509396568353,8.008241758781596,Upstream Repression,100000.0,Initial
3,3,"((0, 1, 0), (0, 0, 1))",7760518.132863984,1.330713594290605,4.236467165124214,7.423016046861125,8.761659851295027,Upstream Repression,100000.0,Initial
4,4,"((0, 1, 0), (0, 0, 1))",175400.58676893022,0.1965830842653679,4.1605724907742285,6.1283774651591,1.021707757074777,Upstream Repression,100000.0,Initial
5,5,"((0, 1, 0), (0, 0, 1))",44601424.902267545,3.744723151943718,2.667208680755902,5.836646051763219,3.064414144560155,Upstream Repression,100000.0,Initial
6,6,"((0, 1, 0), (0, 0, 1))",1375307.9816941435,2.154715981427272,2.919757193844863,0.3119947564365039,7.650758615162632,Upstream Repression,100000.0,Initial
7,7,"((0, 1, 0), (0, 0, 1))",11961473.210185777,2.5327320182825606,0.39536905118596594,9.299564029968314,9.422513760251823,Upstream Repression,100000.0,Initial
8,8,"((0, 1, 0), (0, 0, 1))",15367136.424301282,1.9650693193599265,3.9968731877827666,4.676369657408114,9.406057176333317,Upstream Repression,100000.0,Initial
9,9,"((0, 1, 0), (0, 0, 1))",80328917.41982825,4.4754192782983795,4.417717497077129,8.85817404296806,5.282416712423001,Upstream Repression,100000.0,Initial
0,0,"((0, 0, 1), (1, 0, 0))",28689653.231756542,2.527648604502165,1.84236491096259,1.2389913887630701,1.5945626941158582,Downstream Activation,100000.0,Initial
1,1,"((0, 0, 1), (1, 0, 0))",99557377.03325869,4.7086867093866625,0.9374727800775925,0.488042389789372,5.0201967934636205,Downstream Activation,100000.0,Initial
2,2,"((0, 0, 1), (1, 0, 0))",15252819.654403197,1.843039365869804,1.0073810826795995,4.820447187971519,6.42180719618245,Downstream Activation,100000.0,Initial
3,3,"((0, 0, 1), (1, 0, 0))",96985409.64473689,4.647380065713823,4.083562689087095,4.107784116531726,9.110716987889287,Downstream Activation,100000.0,Initial
4,4,"((0, 0, 1), (1, 0, 0))",27692208.56412447,2.4833505590288,4.420938534614766,3.996933427951111,4.706678710856401,Downstream Activation,100000.0,Initial
5,5,"((0, 0, 1), (1, 0, 0))",637611.4069876544,0.3767351637444625,3.5466734095427848,6.215079728104666,2.625443396154645,Downstream Activation,100000.0,Initial
6,6,"((0, 0, 1), (1, 0, 0))",34493873.517967194,2.7715716059141746,1.7955610289751143,3.4290704034198622,2.780931278271467,Downstream Activation,100000.0,Initial
7,7,"((0, 0, 1), (1, 0, 0))",67946283.87516518,3.8899585768095943,1.9435280512217314,7.510404607356825,7.941073321585664,Downstream Activation,100000.0,Initial
8,8,"((0, 0, 1), (1, 0, 0))",39641707.656525284,2.9712386922719416,1.9762713263756702,0.8063939318514008,7.005076628561649,Downstream Activation,100000.0,Initial
9,9,"((0, 0, 1), (1, 0, 0))",46751803.958666146,3.2267470021685325,0.32368094076698134,3.1164223932145636,4.340553939463322,Downstream Activation,100000.0,Initial
0,0,"((0, 1, 0), (1, 0, 0))",770327.1096581531,2.413072916014869,0.1156501544840131,3.3157430888428223,3.4860685473361253,Dual Control,100000.0,Initial
1,1,"((0, 1, 0), (1, 0, 0))",2284140.0667415913,1.2532088274110238,2.0801605173886197,3.5259010201650454,5.640684393334694,Dual Control,100000.0,Initial
2,2,"((0, 1, 0), (1, 0, 0))",124150.469582975,1.4929840913719965,1.4952036635986117,0.6612989680460877,4.69316546042791,Dual Control,100000.0,Initial
3,3,"((0, 1, 0), (1, 0, 0))",32809382.3030162,3.0760380928861992,4.752416327364059,7.332246779337349,3.07564009014903,Dual Control,100000.0,Initial
4,4,"((0, 1, 0), (1, 0, 0))",7716945.5246281335,1.5549252451277031,0.9628809655846832,7.985779524291683,1.8088308926274757,Dual Control,100000.0,Initial
5,5,"((0, 1, 0), (1, 0, 0))",28613771.21986254,3.637997712821896,1.4045553071399877,7.085938744332485,3.084747559917075,Dual Control,100000.0,Initial
6,6,"((0, 1, 0), (1, 0, 0))",44755338.26494206,4.38301906611382,3.0345090475030125,5.750840642268995,3.112116817625641,Dual Control,100000.0,Initial
7,7,"((0, 1, 0), (1, 0, 0))",5543457.233802243,1.1242608993976178,3.7537815881792365,7.689321963187985,0.2270924278133465,Dual Control,100000.0,Initial
8,8,"((0, 1, 0), (1, 0, 0))",989495.5388464266,1.9171867565396215,2.2794771624586736,1.7774512082684104,7.929611585946461,Dual Control,100000.0,Initial
9,9,"((0, 1, 0), (1, 0, 0))",10581638.100971438,1.985842957810014,2.1884435349722073,5.752601904017971,3.3928930262619135,Dual Control,100000.0,Initial
0,0,"((0, 0, 1), (0, 0, 1))",39003912.92521434,2.947220436955114,1.3496790711209823,2.3318576392877675,4.144323765020288,Open Loop,100000.0,Initial
