,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
249,249,"((0, 1, 0), (1, 0, 0))",13836477.897924777,2.1275062845368673,0.534103539030884,7.465450863957064,5.915822950237691,Dual Control,0.2118441422119579,Dual Control
250,250,"((0, 1, 0), (0, 0, 1))",11787645.643415116,2.778444969190824,1.9082532159323042,1.3379618633446353,8.390416740227375,Upstream Repression,0.2118441422119579,Dual Control
251,251,"((0, 0, 1), (1, 0, 0))",118357230.59407514,2.8440039197351408,4.123872717784251,0.9671019735064004,3.617049712540715,Downstream Activation,0.2118441422119579,Dual Control
252,252,"((0, 1, 0), (1, 0, 0))",21230.44338640293,1.022988141557197,3.568480075691368,0.21015963061244874,4.857955471377047,Dual Control,0.2118441422119579,Dual Control
253,253,"((0, 1, 0), (1, 0, 0))",5031867.726493509,1.4672353417480997,1.241628680122675,2.3929160741088884,2.390507779222535,Dual Control,0.2118441422119579,Dual Control
254,254,"((0, 1, 0), (1, 0, 0))",14.240211245806423,2.4342048530558347,0.01110211649025239,0.01743033736756204,0.9205838643216905,Dual Control,0.2118441422119579,Dual Control
255,255,"((0, 1, 0), (1, 0, 0))",251220.03373468088,3.3090396014835193,0.014944971756567123,5.636942916016997,8.565030180590657,Dual Control,0.2118441422119579,Dual Control
256,256,"((0, 1, 0), (1, 0, 0))",10556853.578828637,3.448696207308676,4.293142985777014,1.5428303175973281,4.336767817615369,Dual Control,0.2118441422119579,Dual Control
257,257,"((0, 1, 0), (1, 0, 0))",2476.9100194759353,2.4449381999914492,0.09679268722200374,0.05119133492576365,0.18072373273868259,Dual Control,0.2118441422119579,Dual Control
258,258,"((0, 1, 0), (1, 0, 0))",455487.6528848629,3.138486572348763,0.19378275751515828,0.8465161028495793,0.8851127391875443,Dual Control,0.2118441422119579,Dual Control
259,259,"((0, 1, 0), (1, 0, 0))",153408.44804162436,2.2924411910526894,0.39260689227552487,0.43038829962480596,1.849421453176412,Dual Control,0.2118441422119579,Dual Control
260,260,"((0, 1, 0), (1, 0, 0))",2366498.864578235,2.072524905330665,0.7410454850047228,1.0999111992363602,0.4315753806473466,Dual Control,0.2118441422119579,Dual Control
261,261,"((0, 1, 0), (1, 0, 0))",349469.78698473604,2.7548838812676424,0.2906481689680626,0.6051438097266567,1.1114887028275593,Dual Control,0.2118441422119579,Dual Control
262,262,"((0, 1, 0), (1, 0, 0))",30.15114259405327,2.947136748960718,0.9992949327767295,0.0022884834262146252,0.6394825931297305,Dual Control,0.2118441422119579,Dual Control
263,263,"((0, 1, 0), (1, 0, 0))",307838.7018888845,3.005907351409625,0.9986453062395707,0.3308919929347168,1.687332648468018,Dual Control,0.2118441422119579,Dual Control
264,264,"((0, 1, 0), (1, 0, 0))",6060488.329049219,3.694241907957413,0.5246090755222886,1.9541279492465413,0.6334371501133412,Dual Control,0.2118441422119579,Dual Control
265,265,"((0, 1, 0), (1, 0, 0))",2842949.1330156047,2.9385186142424606,0.8626989757232265,1.247353039675159,2.2268492866918432,Dual Control,0.2118441422119579,Dual Control
266,266,"((0, 1, 0), (1, 0, 0))",4003540.031281243,3.846882443832905,1.4406605913285824,0.8241456584841405,1.3327012885693335,Dual Control,0.2118441422119579,Dual Control
267,267,"((0, 1, 0), (1, 0, 0))",16587.70423099744,3.5312610613746207,1.7916683243891955,0.14563433566322392,6.139166361523305,Dual Control,0.2118441422119579,Dual Control
268,268,"((0, 1, 0), (1, 0, 0))",5.724847196276656,2.8139903186057063,1.6046641365334624,0.002678963331035459,3.1327529991569976,Dual Control,0.2118441422119579,Dual Control
269,269,"((0, 1, 0), (1, 0, 0))",1362311.6723145153,2.579136802455165,1.367269784379994,0.968259683053149,3.82462128272311,Dual Control,0.2118441422119579,Dual Control
270,270,"((0, 1, 0), (1, 0, 0))",460045.36110932694,3.2350150610298942,1.1556078234733071,0.4956335883697531,3.122000785558064,Dual Control,0.2118441422119579,Dual Control
271,271,"((0, 1, 0), (1, 0, 0))",4074362.881989385,2.5178312887878618,1.5618493461753329,1.383699029891212,2.8002022187249365,Dual Control,0.2118441422119579,Dual Control
272,272,"((0, 1, 0), (1, 0, 0))",45711372.25504521,2.8108062672392724,2.207453936953677,6.364610107209732,4.547072463448756,Dual Control,0.2118441422119579,Dual Control
273,273,"((0, 1, 0), (1, 0, 0))",1666588.3539090047,3.0911838788665826,1.66320524385889,0.7350213633059752,2.6211449234738744,Dual Control,0.2118441422119579,Dual Control
274,274,"((0, 0, 1), (0, 0, 1))",94898323.99842939,2.54654348634583,3.4349097472850914,8.400283132057828,5.040040331263653,Open Loop,0.2118441422119579,Dual Control
275,275,"((0, 1, 0), (1, 0, 0))",11028801.857029801,2.3902505581035607,1.992907025358926,2.7102511354760037,4.130143596788911,Dual Control,0.2118441422119579,Dual Control
276,276,"((0, 1, 0), (0, 0, 1))",140726568.9298894,3.384167051509908,3.8845841230638065,9.825530653990029,2.4841718104593684,Upstream Repression,0.2118441422119579,Dual Control
277,277,"((0, 1, 0), (1, 0, 0))",50870779.044773385,2.668349055397166,2.6685491559482966,7.736846149603502,5.658719686599625,Dual Control,0.2118441422119579,Dual Control
278,278,"((0, 0, 1), (1, 0, 0))",149356998.11990768,3.194762531621132,3.3787604773576225,3.4776096582407092,7.152164164983452,Downstream Activation,0.2118441422119579,Dual Control
279,279,"((0, 1, 0), (1, 0, 0))",57068655.798296556,4.35340618787464,1.0697547188098775,7.0897298057070515,5.099689119927899,Dual Control,0.2118441422119579,Dual Control
280,280,"((0, 1, 0), (1, 0, 0))",243247.82613212656,2.2700611711217693,2.5365952190832757,0.26301588605314413,2.0241712356777852,Dual Control,0.2118441422119579,Dual Control
281,281,"((0, 1, 0), (1, 0, 0))",1863872.918453319,1.750780069385271,1.3133780438987486,1.61500062982355,4.750535452564149,Dual Control,0.2118441422119579,Dual Control
282,282,"((0, 1, 0), (1, 0, 0))",372261.97291227913,1.354969955459154,0.4714901782821379,1.017203822524578,3.021128726050099,Dual Control,0.2118441422119579,Dual Control
283,283,"((0, 0, 1), (0, 0, 1))",154345808.25200543,3.2476967652647137,0.5328007651490325,6.933097332851128,9.34053565153988,Open Loop,0.2118441422119579,Dual Control
